Date,Product,Region,Sales
2023-01-01,Product A,North,202
2023-01-01,Product A,South,535
2023-01-01,Product A,East,960
2023-01-01,Product A,West,370
2023-01-01,Product B,North,206
2023-01-01,Product B,South,171
2023-01-01,Product B,East,800
2023-01-01,Product B,West,120
2023-01-01,Product C,North,714
2023-01-01,Product C,South,221
2023-01-01,Product C,East,566
2023-01-01,Product C,West,314
2023-01-01,Product D,North,430
2023-01-01,Product D,South,558
2023-01-01,Product D,East,187
2023-01-01,Product D,West,472
2023-01-01,Product E,North,199
2023-01-01,Product E,South,971
2023-01-01,Product E,East,763
2023-01-01,Product E,West,230
2023-01-02,Product A,North,761
2023-01-02,Product A,South,408
2023-01-02,Product A,East,869
2023-01-02,Product A,West,443
2023-01-02,Product B,North,591
2023-01-02,Product B,South,513
2023-01-02,Product B,East,905
2023-01-02,Product B,West,485
2023-01-02,Product C,North,291
2023-01-02,Product C,South,376
2023-01-02,Product C,East,260
2023-01-02,Product C,West,559
2023-01-02,Product D,North,413
2023-01-02,Product D,South,121
2023-01-02,Product D,East,352
2023-01-02,Product D,West,847
2023-01-02,Product E,North,956
2023-01-02,Product E,South,660
2023-01-02,Product E,East,574
2023-01-02,Product E,West,158
2023-01-03,Product A,North,610
2023-01-03,Product A,South,781
2023-01-03,Product A,East,575
2023-01-03,Product A,West,799
2023-01-03,Product B,North,882
2023-01-03,Product B,South,289
2023-01-03,Product B,East,786
2023-01-03,Product B,West,662
2023-01-03,Product C,North,975
2023-01-03,Product C,South,666
2023-01-03,Product C,East,343
2023-01-03,Product C,West,931
2023-01-03,Product D,North,604
2023-01-03,Product D,South,230
2023-01-03,Product D,East,584
2023-01-03,Product D,West,918
2023-01-03,Product E,North,746
2023-01-03,Product E,South,120
2023-01-03,Product E,East,940
2023-01-03,Product E,West,266
2023-01-04,Product A,North,373
2023-01-04,Product A,South,487
2023-01-04,Product A,East,700
2023-01-04,Product A,West,415
2023-01-04,Product B,North,113
2023-01-04,Product B,South,341
2023-01-04,Product B,East,876
2023-01-04,Product B,West,445
2023-01-04,Product C,North,664
2023-01-04,Product C,South,997
2023-01-04,Product C,East,439
2023-01-04,Product C,West,191
2023-01-04,Product D,North,466
2023-01-04,Product D,South,554
2023-01-04,Product D,East,527
2023-01-04,Product D,West,608
2023-01-04,Product E,North,875
2023-01-04,Product E,South,134
2023-01-04,Product E,East,305
2023-01-04,Product E,West,180
2023-01-05,Product A,North,661
2023-01-05,Product A,South,971
2023-01-05,Product A,East,487
2023-01-05,Product A,West,101
2023-01-05,Product B,North,489
2023-01-05,Product B,South,665
2023-01-05,Product B,East,205
2023-01-05,Product B,West,871
2023-01-05,Product C,North,921
2023-01-05,Product C,South,576
2023-01-05,Product C,East,802
2023-01-05,Product C,West,501
2023-01-05,Product D,North,829
2023-01-05,Product D,South,655
2023-01-05,Product D,East,261
2023-01-05,Product D,West,301
2023-01-05,Product E,North,369
2023-01-05,Product E,South,962
2023-01-05,Product E,East,915
2023-01-05,Product E,West,370
2023-01-06,Product A,North,555
2023-01-06,Product A,South,561
2023-01-06,Product A,East,826
2023-01-06,Product A,West,351
2023-01-06,Product B,North,801
2023-01-06,Product B,South,395
2023-01-06,Product B,East,824
2023-01-06,Product B,West,819
2023-01-06,Product C,North,848
2023-01-06,Product C,South,437
2023-01-06,Product C,East,978
2023-01-06,Product C,West,152
2023-01-06,Product D,North,891
2023-01-06,Product D,South,316
2023-01-06,Product D,East,863
2023-01-06,Product D,West,287
2023-01-06,Product E,North,479
2023-01-06,Product E,South,592
2023-01-06,Product E,East,140
2023-01-06,Product E,West,256
2023-01-07,Product A,North,114
2023-01-07,Product A,South,912
2023-01-07,Product A,East,164
2023-01-07,Product A,West,956
2023-01-07,Product B,North,938
2023-01-07,Product B,South,620
2023-01-07,Product B,East,443
2023-01-07,Product B,West,228
2023-01-07,Product C,North,747
2023-01-07,Product C,South,571
2023-01-07,Product C,East,162
2023-01-07,Product C,West,238
2023-01-07,Product D,North,598
2023-01-07,Product D,South,692
2023-01-07,Product D,East,491
2023-01-07,Product D,West,774
2023-01-07,Product E,North,518
2023-01-07,Product E,South,388
2023-01-07,Product E,East,478
2023-01-07,Product E,West,872
2023-01-08,Product A,North,589
2023-01-08,Product A,South,330
2023-01-08,Product A,East,140
2023-01-08,Product A,West,127
2023-01-08,Product B,North,234
2023-01-08,Product B,South,300
2023-01-08,Product B,East,939
2023-01-08,Product B,West,879
2023-01-08,Product C,North,132
2023-01-08,Product C,South,147
2023-01-08,Product C,East,602
2023-01-08,Product C,West,506
2023-01-08,Product D,North,673
2023-01-08,Product D,South,827
2023-01-08,Product D,East,904
2023-01-08,Product D,West,198
2023-01-08,Product E,North,783
2023-01-08,Product E,South,971
2023-01-08,Product E,East,825
2023-01-08,Product E,West,646
2023-01-09,Product A,North,838
2023-01-09,Product A,South,712
2023-01-09,Product A,East,561
2023-01-09,Product A,West,742
2023-01-09,Product B,North,868
2023-01-09,Product B,South,104
2023-01-09,Product B,East,317
2023-01-09,Product B,West,602
2023-01-09,Product C,North,866
2023-01-09,Product C,South,497
2023-01-09,Product C,East,970
2023-01-09,Product C,West,894
2023-01-09,Product D,North,492
2023-01-09,Product D,South,306
2023-01-09,Product D,East,114
2023-01-09,Product D,West,957
2023-01-09,Product E,North,653
2023-01-09,Product E,South,991
2023-01-09,Product E,East,560
2023-01-09,Product E,West,790
2023-01-10,Product A,North,674
2023-01-10,Product A,South,963
2023-01-10,Product A,East,842
2023-01-10,Product A,West,340
2023-01-10,Product B,North,663
2023-01-10,Product B,South,195
2023-01-10,Product B,East,999
2023-01-10,Product B,West,833
2023-01-10,Product C,North,584
2023-01-10,Product C,South,506
2023-01-10,Product C,East,330
2023-01-10,Product C,West,848
2023-01-10,Product D,North,754
2023-01-10,Product D,South,270
2023-01-10,Product D,East,640
2023-01-10,Product D,West,135
2023-01-10,Product E,North,624
2023-01-10,Product E,South,259
2023-01-10,Product E,East,938
2023-01-10,Product E,West,798
2023-01-11,Product A,North,342
2023-01-11,Product A,South,185
2023-01-11,Product A,East,895
2023-01-11,Product A,West,677
2023-01-11,Product B,North,781
2023-01-11,Product B,South,656
2023-01-11,Product B,East,673
2023-01-11,Product B,West,745
2023-01-11,Product C,North,895
2023-01-11,Product C,South,127
2023-01-11,Product C,East,719
2023-01-11,Product C,West,655
2023-01-11,Product D,North,439
2023-01-11,Product D,South,897
2023-01-11,Product D,East,430
2023-01-11,Product D,West,739
2023-01-11,Product E,North,605
2023-01-11,Product E,South,447
2023-01-11,Product E,East,572
2023-01-11,Product E,West,330
2023-01-12,Product A,North,289
2023-01-12,Product A,South,324
2023-01-12,Product A,East,484
2023-01-12,Product A,West,476
2023-01-12,Product B,North,382
2023-01-12,Product B,South,732
2023-01-12,Product B,East,727
2023-01-12,Product B,West,844
2023-01-12,Product C,North,358
2023-01-12,Product C,South,458
2023-01-12,Product C,East,809
2023-01-12,Product C,West,555
2023-01-12,Product D,North,510
2023-01-12,Product D,South,748
2023-01-12,Product D,East,417
2023-01-12,Product D,West,776
2023-01-12,Product E,North,324
2023-01-12,Product E,South,918
2023-01-12,Product E,East,333
2023-01-12,Product E,West,783
2023-01-13,Product A,North,763
2023-01-13,Product A,South,926
2023-01-13,Product A,East,473
2023-01-13,Product A,West,771
2023-01-13,Product B,North,707
2023-01-13,Product B,South,571
2023-01-13,Product B,East,332
2023-01-13,Product B,West,791
2023-01-13,Product C,North,212
2023-01-13,Product C,South,929
2023-01-13,Product C,East,596
2023-01-13,Product C,West,541
2023-01-13,Product D,North,663
2023-01-13,Product D,South,367
2023-01-13,Product D,East,609
2023-01-13,Product D,West,906
2023-01-13,Product E,North,485
2023-01-13,Product E,South,486
2023-01-13,Product E,East,212
2023-01-13,Product E,West,712
2023-01-14,Product A,North,724
2023-01-14,Product A,South,180
2023-01-14,Product A,East,798
2023-01-14,Product A,West,212
2023-01-14,Product B,North,101
2023-01-14,Product B,South,741
2023-01-14,Product B,East,319
2023-01-14,Product B,West,665
2023-01-14,Product C,North,954
2023-01-14,Product C,South,835
2023-01-14,Product C,East,324
2023-01-14,Product C,West,484
2023-01-14,Product D,North,502
2023-01-14,Product D,South,737
2023-01-14,Product D,East,229
2023-01-14,Product D,West,152
2023-01-14,Product E,North,783
2023-01-14,Product E,South,829
2023-01-14,Product E,East,771
2023-01-14,Product E,West,809
2023-01-15,Product A,North,515
2023-01-15,Product A,South,346
2023-01-15,Product A,East,935
2023-01-15,Product A,West,538
2023-01-15,Product B,North,302
2023-01-15,Product B,South,283
2023-01-15,Product B,East,222
2023-01-15,Product B,West,500
2023-01-15,Product C,North,866
2023-01-15,Product C,South,393
2023-01-15,Product C,East,379
2023-01-15,Product C,West,936
2023-01-15,Product D,North,983
2023-01-15,Product D,South,709
2023-01-15,Product D,East,297
2023-01-15,Product D,West,610
2023-01-15,Product E,North,851
2023-01-15,Product E,South,243
2023-01-15,Product E,East,708
2023-01-15,Product E,West,300
2023-01-16,Product A,North,223
2023-01-16,Product A,South,286
2023-01-16,Product A,East,425
2023-01-16,Product A,West,563
2023-01-16,Product B,North,448
2023-01-16,Product B,South,870
2023-01-16,Product B,East,759
2023-01-16,Product B,West,863
2023-01-16,Product C,North,502
2023-01-16,Product C,South,445
2023-01-16,Product C,East,610
2023-01-16,Product C,West,246
2023-01-16,Product D,North,247
2023-01-16,Product D,South,963
2023-01-16,Product D,East,810
2023-01-16,Product D,West,919
2023-01-16,Product E,North,588
2023-01-16,Product E,South,739
2023-01-16,Product E,East,650
2023-01-16,Product E,West,437
2023-01-17,Product A,North,971
2023-01-17,Product A,South,740
2023-01-17,Product A,East,878
2023-01-17,Product A,West,572
2023-01-17,Product B,North,250
2023-01-17,Product B,South,514
2023-01-17,Product B,East,397
2023-01-17,Product B,West,710
2023-01-17,Product C,North,362
2023-01-17,Product C,South,863
2023-01-17,Product C,East,243
2023-01-17,Product C,West,445
2023-01-17,Product D,North,723
2023-01-17,Product D,South,671
2023-01-17,Product D,East,980
2023-01-17,Product D,West,101
